ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros
14;52.973;1149;1163;257;1440;308;10.1;1;0.816;1.03;4.84;2.35;1.55;0.49;0.57;0.31;0.18;10.70;1.14;jja;173.45;3.07;djf;313;0.029;0.032;0.754;0.000;0.000;0.018;4.40;4.14;0.79;0.18;0.88;0.77;0.76;0.46;0.49;0.028;0.09;0.311;0.521;0.168;0.148;0.023;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.897;0.103;0.000;0.000;0.000;0.000;0.000;-11.8;0.073
15;17.600;844;811;189;953;171;7.0;277;0.673;1.08;4.77;2.35;1.60;0.49;0.57;0.29;0.16;10.60;1.15;jja;175.25;3.10;djf;231;0.368;0.000;0.520;0.000;0.000;0.077;4.34;4.15;0.80;0.16;0.93;0.84;0.97;0.68;0.47;0.026;0.11;0.430;0.374;0.196;0.145;0.011;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.050;0.950;0.000;0.000;0.000;0.000;0.000;-13.1;0.183
16;116.397;880;871;349;1513;212;16.6;339;0.732;1.01;4.76;2.37;1.58;0.50;0.58;0.30;0.15;11.00;1.15;jja;174.90;3.10;djf;313;0.200;0.015;0.546;0.000;0.000;0.146;3.75;3.50;0.77;0.19;0.90;0.76;6.17;0.67;0.47;0.031;0.10;0.416;0.413;0.170;0.134;0.017;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.491;0.509;0.000;0.000;0.000;0.000;0.000;-12.1;0.126
17;8.241;939;951;321;1201;319;4.9;325;0.658;1.41;4.66;2.37;1.58;0.51;0.59;0.30;0.12;11.40;1.16;jja;177.45;3.12;djf;312;0.069;0.000;0.776;0.000;0.000;0.114;3.98;3.77;0.78;0.20;0.87;0.74;2.80;0.68;0.44;0.027;0.09;0.413;0.453;0.134;0.155;0.017;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.957;0.043;0.000;0.000;0.000;0.000;0.000;-11.8;0.066
18;76.598;584;427;272;1234;159;15.4;24;0.642;0.65;4.67;2.42;1.57;0.52;0.64;0.31;0.12;11.60;1.15;jja;177.35;3.12;djf;112;0.302;0.000;0.336;0.000;0.000;0.308;2.90;2.63;0.74;0.23;0.94;0.73;18.18;1.00;0.44;0.030;0.12;0.555;0.300;0.145;0.116;0.010;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.958;0.042;0.000;0.000;0.000;0.000;0.000;-11.8;0.065
19;194.760;760;673;352;1513;190;18.7;337;0.843;0.88;4.72;2.39;1.57;0.51;0.60;0.30;0.14;11.25;1.16;jja;175.95;3.11;djf;313;0.243;0.009;0.459;0.000;0.000;0.209;3.41;3.15;0.75;0.21;0.92;0.75;11.52;0.79;0.46;0.031;0.11;0.469;0.370;0.161;0.127;0.014;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.670;0.330;0.000;0.000;0.000;0.000;0.000;-12.0;0.103
20;40.731;1711;1720;301;1655;396;8.8;316;0.820;0.72;5.25;2.18;1.11;0.42;0.56;0.32;0.36;8.75;1.17;jja;161.05;2.91;djf;321;0.030;0.157;0.178;0.000;0.000;0.000;3.08;3.05;0.70;-0.04;0.99;1.21;0.58;0.53;0.47;0.030;0.08;0.378;0.403;0.219;0.148;0.017;sc;0.000;0.117;0.000;0.000;0.000;0.000;0.848;0.035;0.000;0.000;0.000;0.000;0.000;-11.9;0.059
21;147.395;1549;1594;335;1834;359;16.1;313;0.852;0.82;5.24;2.27;1.24;0.43;0.56;0.31;0.33;9.35;1.15;jja;164.60;2.93;djf;321;0.054;0.079;0.290;0.000;0.000;0.017;3.53;3.47;0.73;-0.00;0.98;1.13;0.57;0.49;0.47;0.030;0.07;0.371;0.421;0.208;0.156;0.018;sc;0.000;0.079;0.000;0.000;0.000;0.000;0.535;0.387;0.000;0.000;0.000;0.000;0.000;-12.1;0.106
22;227.613;1464;1505;355;1935;357;23.4;306;0.728;0.81;5.18;2.29;1.31;0.44;0.55;0.31;0.30;9.40;1.15;jja;165.75;2.96;djf;321;0.052;0.068;0.357;0.000;0.000;0.018;3.67;3.60;0.74;0.01;0.96;1.09;0.58;0.48;0.48;0.030;0.08;0.351;0.455;0.194;0.153;0.019;sc;0.000;0.051;0.000;0.000;0.000;0.000;0.695;0.254;0.000;0.000;0.000;0.000;0.000;-12.0;0.091
23;14.040;1116;1116;276;1161;324;9.0;269;0.471;0.78;5.18;2.31;1.51;0.45;0.55;0.31;0.25;10.05;1.18;jja;168.95;3.03;djf;313;0.225;0.012;0.571;0.000;0.000;0.051;4.19;4.08;0.80;0.08;1.00;1.01;0.80;0.46;0.50;0.029;0.09;0.320;0.503;0.177;0.139;0.023;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
24;31.153;1480;1476;262;1074;314;6.4;344;0.985;0.85;5.27;2.29;1.38;0.43;0.55;0.32;0.28;9.40;1.16;jja;164.30;2.97;djf;321;0.048;0.128;0.338;0.000;0.000;0.000;3.56;3.49;0.72;0.00;0.90;1.04;0.62;0.38;0.49;0.036;0.07;0.365;0.431;0.204;0.161;0.021;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
25;14.067;1289;1268;171;841;304;6.3;255;0.669;0.60;5.05;2.30;1.64;0.46;0.53;0.26;0.19;10.15;1.22;NA;167.35;3.02;djf;321;0.051;0.000;0.399;0.000;0.000;0.000;4.17;4.08;0.78;0.04;0.94;1.01;0.63;1.15;0.49;0.052;0.16;0.384;0.336;0.280;0.095;0.006;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;-15.0;0.190
26;79.193;1233;1237;198;1067;252;16.6;285;0.606;0.59;5.13;2.32;1.55;0.45;0.54;0.28;0.22;9.80;1.19;jja;165.20;2.99;djf;321;0.143;0.000;0.550;0.000;0.000;0.003;4.15;4.01;0.78;0.08;0.94;0.96;0.76;0.97;0.48;0.045;0.14;0.419;0.337;0.245;0.101;0.008;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.232;0.768;0.000;0.000;0.000;0.000;0.000;-12.4;0.160
27;202.700;1096;1110;255;1259;228;21.3;295;0.754;0.66;5.05;2.32;1.62;0.46;0.53;0.27;0.20;10.05;1.21;NA;167.25;3.01;djf;312;0.241;0.000;0.500;0.000;0.002;0.013;4.28;4.13;0.79;0.09;0.93;0.93;0.84;1.06;0.48;0.046;0.15;0.414;0.339;0.247;0.099;0.007;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.091;0.862;0.000;0.047;0.000;0.000;0.000;-12.5;0.180
28;84.104;764;747;114;546;108;11.8;208;0.881;0.56;4.64;2.35;1.71;0.51;0.55;0.21;0.13;11.55;1.23;jja;178.55;3.14;djf;231;0.594;0.000;0.337;0.000;0.000;0.062;4.15;3.95;0.80;0.15;0.98;0.90;3.75;1.23;0.48;0.059;0.17;0.433;0.321;0.246;0.072;0.006;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.592;0.000;0.408;0.000;0.000;0.000;-12.2;0.205
29;828.508;1120;1065;383;2187;254;38.3;316;0.847;0.71;5.04;2.32;1.53;0.46;0.55;0.29;0.23;10.00;1.18;jja;167.85;3.00;djf;313;0.226;0.026;0.452;0.000;0.000;0.031;4.12;3.98;0.78;0.09;0.95;0.97;1.10;0.74;0.49;0.040;0.11;0.386;0.398;0.216;0.118;0.014;sm;0.000;0.014;0.000;0.000;0.000;0.000;0.443;0.490;0.000;0.053;0.000;0.000;0.000;-12.1;0.132
30;6.809;763;797;180;662;178;4.5;260;0.655;1.10;4.57;2.37;1.73;0.52;0.58;0.25;0.11;11.45;1.18;jja;177.40;3.16;djf;313;0.298;0.000;0.623;0.000;0.000;0.079;4.42;4.12;0.81;0.23;0.92;0.74;1.46;0.80;0.47;0.067;0.13;0.427;0.360;0.212;0.132;0.008;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;-15.0;0.190
